fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,sulphates,alcohol,Quality
8.8,0.66,0.26,1.7,0.074,23,0.9971,0.74,9.2,0
6.6,0.52,0.04,2.2,0.069,15,0.9956,0.63,9.4,1
6.6,0.5,0.04,2.1,0.068,14,0.9955,0.64,9.4,1
8.6,0.38,0.36,3,0.081,119,0.997,0.56,9.4,0
7.6,0.51,0.15,2.8,0.11,73,0.9955,0.63,10.2,1
7.7,0.62,0.04,3.8,0.084,45,0.9978,0.53,9.5,0
10.2,0.42,0.57,3.4,0.07,10,0.9971,0.63,9.6,0
7.5,0.63,0.12,5.1,0.111,110,0.9983,0.77,9.4,0
7.8,0.59,0.18,2.3,0.076,54,0.9975,0.59,10,0
7.3,0.39,0.31,2.4,0.074,46,0.9962,0.54,9.4,1
8.8,0.4,0.4,2.2,0.079,52,0.998,0.64,9.2,0
7.7,0.69,0.49,1.8,0.115,112,0.9968,0.71,9.3,0
7.5,0.52,0.16,1.9,0.085,35,0.9968,0.62,9.5,1
7,0.735,0.05,2,0.081,54,0.9966,0.57,9.8,0
7.2,0.725,0.05,4.65,0.086,11,0.9962,0.39,10.9,0
7.2,0.725,0.05,4.65,0.086,11,0.9962,0.39,10.9,0
7.5,0.52,0.11,1.5,0.079,39,0.9968,0.58,9.6,0
6.6,0.705,0.07,1.6,0.076,15,0.9962,0.58,10.7,0
9.3,0.32,0.57,2,0.074,65,0.9969,0.79,10.7,0
8,0.705,0.05,1.9,0.074,19,0.9962,0.95,10.5,1
7.7,0.63,0.08,1.9,0.076,27,0.9967,0.54,9.5,1
7.7,0.67,0.23,2.1,0.088,96,0.9962,0.48,9.5,0
7.7,0.69,0.22,1.9,0.084,94,0.9961,0.48,9.5,0
8.3,0.675,0.26,2.1,0.084,43,0.9976,0.53,9.2,0
9.7,0.32,0.54,2.5,0.094,83,0.9984,0.82,9.6,0
8.8,0.41,0.64,2.2,0.093,42,0.9986,0.66,10.5,0
8.8,0.41,0.64,2.2,0.093,42,0.9986,0.66,10.5,0
6.8,0.785,0,2.4,0.104,30,0.9966,0.55,10.7,1
6.7,0.75,0.12,2,0.086,80,0.9958,0.52,10.1,0
8.3,0.625,0.2,1.5,0.08,119,0.9972,1.12,9.1,0
6.2,0.45,0.2,1.6,0.069,15,0.9958,0.56,9.2,0
7.8,0.43,0.7,1.9,0.464,67,0.9974,1.28,9.4,0
7.4,0.5,0.47,2,0.086,73,0.997,0.57,9.1,0
7.3,0.67,0.26,1.8,0.401,51,0.9969,1.14,9.4,0
6.3,0.3,0.48,1.8,0.069,61,0.9959,0.78,10.3,1
6.9,0.55,0.15,2.2,0.076,40,0.9961,0.59,10.1,0
8.6,0.49,0.28,1.9,0.11,136,0.9972,1.95,9.9,1
7.7,0.49,0.26,1.9,0.062,31,0.9966,0.64,9.6,0
9.3,0.39,0.44,2.1,0.107,125,0.9978,1.22,9.5,0
7,0.62,0.08,1.8,0.076,24,0.9978,0.53,9,0
7.9,0.52,0.26,1.9,0.079,140,0.9964,0.54,9.5,0
8.6,0.49,0.28,1.9,0.11,136,0.9972,1.95,9.9,1
8.6,0.49,0.29,2,0.11,133,0.9972,1.98,9.8,0
7.7,0.49,0.26,1.9,0.062,31,0.9966,0.64,9.6,0
5,1.02,0.04,1.4,0.045,85,0.9938,0.48,10.5,0
4.7,0.6,0.17,2.3,0.058,106,0.9932,0.6,12.9,1
6.8,0.775,0,3,0.102,23,0.9965,0.56,10.7,0
7,0.5,0.25,2,0.07,22,0.9963,0.63,9.2,0
7.6,0.9,0.06,2.5,0.079,10,0.9967,0.56,9.8,0
8.1,0.545,0.18,1.9,0.08,35,0.9972,0.59,9,1
8.3,0.61,0.3,2.1,0.084,50,0.9972,0.61,10.2,1
7.8,0.5,0.3,1.9,0.075,22,0.9959,0.56,10.4,1
8.1,0.545,0.18,1.9,0.08,35,0.9972,0.59,9,1
8.1,0.575,0.22,2.1,0.077,65,0.9967,0.51,9.2,0
7.2,0.49,0.24,2.2,0.07,36,0.996,0.48,9.4,0
8.1,0.575,0.22,2.1,0.077,65,0.9967,0.51,9.2,0
7.8,0.41,0.68,1.7,0.467,69,0.9973,1.31,9.3,0
6.2,0.63,0.31,1.7,0.088,64,0.9969,0.79,9.3,0
8,0.33,0.53,2.5,0.091,80,0.9976,0.8,9.6,1
8.1,0.785,0.52,2,0.122,153,0.9969,0.69,9.3,0
7.8,0.56,0.19,1.8,0.104,47,0.9964,0.93,9.5,0
8.4,0.62,0.09,2.2,0.084,108,0.9964,0.66,9.8,0
8.4,0.6,0.1,2.2,0.085,111,0.9964,0.66,9.8,0
10.1,0.31,0.44,2.3,0.08,46,0.9988,0.67,9.7,1
7.8,0.56,0.19,1.8,0.104,47,0.9964,0.93,9.5,0
9.4,0.4,0.31,2.2,0.09,62,0.9966,0.63,10.5,1
8.3,0.54,0.28,1.9,0.077,40,0.9978,0.61,10,1
7.8,0.56,0.12,2,0.082,28,0.997,0.5,9.4,1
8.8,0.55,0.04,2.2,0.119,56,0.9962,0.6,10.9,1
7,0.69,0.08,1.8,0.097,89,0.9959,0.54,9.2,1
7.3,1.07,0.09,1.7,0.178,89,0.9962,0.57,9,0
8.8,0.55,0.04,2.2,0.119,56,0.9962,0.6,10.9,1
7.3,0.695,0,2.5,0.075,13,0.998,0.52,9.2,0
8,0.71,0,2.6,0.08,34,0.9976,0.53,9.5,0
7.8,0.5,0.17,1.6,0.082,102,0.996,0.48,9.5,0
9,0.62,0.04,1.9,0.146,90,0.9984,0.7,9.4,0
8.2,1.33,0,1.7,0.081,12,0.9964,0.49,10.9,0
8.1,1.33,0,1.8,0.082,12,0.9964,0.48,10.9,0
8,0.59,0.16,1.8,0.065,16,0.9962,0.92,10.5,1
6.1,0.38,0.15,1.8,0.072,19,0.9955,0.57,9.4,0
8,0.745,0.56,2,0.118,134,0.9968,0.66,9.4,0
5.6,0.5,0.09,2.3,0.049,99,0.9937,0.63,13,0
5.6,0.5,0.09,2.3,0.049,99,0.9937,0.63,13,0
6.6,0.5,0.01,1.5,0.06,26,0.9952,0.58,9.8,1
7.9,1.04,0.05,2.2,0.084,29,0.9959,0.55,9.9,1
8.4,0.745,0.11,1.9,0.09,63,0.9965,0.82,9.6,0
8.3,0.715,0.15,1.8,0.089,52,0.9968,0.77,9.5,0
7.2,0.415,0.36,2,0.081,45,0.9972,0.64,9.2,0
7.8,0.56,0.19,2.1,0.081,105,0.9962,0.54,9.5,0
7.8,0.56,0.19,2,0.081,108,0.9962,0.54,9.5,0
8.4,0.745,0.11,1.9,0.09,63,0.9965,0.82,9.6,0
8.3,0.715,0.15,1.8,0.089,52,0.9968,0.77,9.5,0
5.2,0.34,0,1.8,0.05,63,0.9916,0.79,14,1
6.3,0.39,0.08,1.7,0.066,20,0.9954,0.58,9.4,0
5.2,0.34,0,1.8,0.05,63,0.9916,0.79,14,1
8.1,0.67,0.55,1.8,0.117,141,0.9968,0.62,9.4,0
5.8,0.68,0.02,1.8,0.087,94,0.9944,0.52,10,0
7.6,0.49,0.26,1.6,0.236,88,0.9968,0.8,9.3,0
6.9,0.49,0.1,2.3,0.074,30,0.9959,0.58,10.2,1
8.2,0.4,0.44,2.8,0.089,43,0.9975,0.61,10.5,1
7.3,0.33,0.47,2.1,0.077,11,0.9958,0.53,10.3,1
9.2,0.52,1,3.4,0.61,69,0.9996,2,9.4,0
7.5,0.6,0.03,1.8,0.095,99,0.995,0.54,10.1,0
7.5,0.6,0.03,1.8,0.095,99,0.995,0.54,10.1,0
7.1,0.43,0.42,5.5,0.07,129,0.9973,0.72,10.5,0
7.1,0.43,0.42,5.5,0.071,128,0.9973,0.71,10.5,0
7.1,0.43,0.42,5.5,0.07,129,0.9973,0.72,10.5,0
7.1,0.43,0.42,5.5,0.071,128,0.9973,0.71,10.5,0
7.1,0.68,0,2.2,0.073,22,0.9969,0.5,9.3,0
6.8,0.6,0.18,1.9,0.079,86,0.9968,0.57,9.3,1
7.6,0.95,0.03,2,0.09,20,0.9959,0.56,9.6,0
7.6,0.68,0.02,1.3,0.072,20,0.9965,1.08,9.2,0
7.8,0.53,0.04,1.7,0.076,31,0.9964,0.56,10,1
7.4,0.6,0.26,7.3,0.07,121,0.9982,0.49,9.4,0
7.3,0.59,0.26,7.2,0.07,121,0.9981,0.49,9.4,0
7.8,0.63,0.48,1.7,0.1,96,0.9961,0.62,9.5,0
6.8,0.64,0.1,2.1,0.085,101,0.9956,0.52,10.2,0
7.3,0.55,0.03,1.6,0.072,42,0.9956,0.48,9,0
6.8,0.63,0.07,2.1,0.089,44,0.9953,0.55,10.4,1
7.5,0.705,0.24,1.8,0.36,63,0.9964,1.59,9.5,0
7.9,0.885,0.03,1.8,0.058,8,0.9972,0.33,9.1,0
8,0.42,0.17,2,0.073,18,0.9972,0.61,9.2,1
8,0.42,0.17,2,0.073,18,0.9972,0.61,9.2,1
7.4,0.62,0.05,1.9,0.068,42,0.9961,0.57,11.5,1
7.3,0.38,0.21,2,0.08,35,0.9961,0.47,9.5,0
6.9,0.5,0.04,1.5,0.085,49,0.9958,0.78,9.5,0
7.3,0.38,0.21,2,0.08,35,0.9961,0.47,9.5,0
7.5,0.52,0.42,2.3,0.087,38,0.9972,0.61,10.5,1
7,0.805,0,2.5,0.068,20,0.9969,0.56,9.6,0
8.8,0.61,0.14,2.4,0.067,42,0.9969,0.59,9.5,0
8.8,0.61,0.14,2.4,0.067,42,0.9969,0.59,9.5,0
8.9,0.61,0.49,2,0.27,110,0.9972,1.02,9.3,0
7.2,0.73,0.02,2.5,0.076,42,0.9972,0.52,9.3,0
6.8,0.61,0.2,1.8,0.077,65,0.9971,0.58,9.3,0
6.7,0.62,0.21,1.9,0.079,62,0.997,0.58,9.3,1
8.9,0.31,0.57,2,0.111,85,0.9971,0.53,9.7,0
7.4,0.39,0.48,2,0.082,67,0.9972,0.55,9.2,0
7.7,0.705,0.1,2.6,0.084,26,0.9976,0.49,9.7,0
7.9,0.5,0.33,2,0.084,143,0.9968,0.55,9.5,0
7.9,0.49,0.32,1.9,0.082,144,0.9968,0.55,9.5,0
8.2,0.5,0.35,2.9,0.077,127,0.9976,0.62,9.4,0
6.4,0.37,0.25,1.9,0.074,49,0.9974,0.62,9.8,1
6.8,0.63,0.12,3.8,0.099,126,0.9969,0.61,9.5,0
7.6,0.55,0.21,2.2,0.071,28,0.9964,0.55,9.7,0
7.6,0.55,0.21,2.2,0.071,28,0.9964,0.55,9.7,0
7.8,0.59,0.33,2,0.074,120,0.9968,0.54,9.4,0
7.3,0.58,0.3,2.4,0.074,55,0.9968,0.59,10.2,0
11.5,0.3,0.6,2,0.067,27,0.9981,0.97,10.1,1
5.4,0.835,0.08,1.2,0.046,93,0.9924,0.85,13,1
6.9,1.09,0.06,2.1,0.061,31,0.9948,0.43,11.4,0
9.6,0.32,0.47,1.4,0.056,24,0.99695,0.82,10.3,1
8.8,0.37,0.48,2.1,0.097,145,0.9975,1.03,9.3,0
6.8,0.5,0.11,1.5,0.075,49,0.99545,0.79,9.5,0
7,0.42,0.35,1.6,0.088,39,0.9961,0.55,9.2,0
7,0.43,0.36,1.6,0.089,37,0.99615,0.56,9.2,1
12.8,0.3,0.74,2.6,0.095,28,0.9994,0.77,10.8,1
12.8,0.3,0.74,2.6,0.095,28,0.9994,0.77,10.8,1
7.8,0.57,0.31,1.8,0.069,120,0.99625,0.53,9.3,0
7.8,0.44,0.28,2.7,0.1,95,0.9966,0.67,9.4,0
11,0.3,0.58,2.1,0.054,19,0.998,0.88,10.5,1
9.7,0.53,0.6,2,0.039,19,0.99585,0.86,12.4,1
8,0.725,0.24,2.8,0.083,62,0.99685,0.56,10,1
11.6,0.44,0.64,2.1,0.059,15,0.998,0.67,10.2,1
8.2,0.57,0.26,2.2,0.06,65,0.9959,0.43,10.1,0
7.8,0.735,0.08,2.4,0.092,41,0.9974,0.71,9.8,1
7,0.49,0.49,5.6,0.06,121,0.9974,0.76,10.5,0
8.7,0.625,0.16,2,0.101,49,0.9962,0.57,11,0
8.1,0.725,0.22,2.2,0.072,41,0.9967,0.55,9.1,0
7.5,0.49,0.19,1.9,0.076,44,0.9957,0.54,9.7,0
7.8,0.53,0.33,2.4,0.08,144,0.99655,0.6,9.5,0
7.8,0.34,0.37,2,0.082,58,0.9964,0.59,9.4,1
7.4,0.53,0.26,2,0.101,72,0.9957,0.57,9.4,0
6.8,0.61,0.04,1.5,0.057,10,0.99525,0.6,9.5,0
8.6,0.645,0.25,2,0.083,28,0.99815,0.6,10,1
8.4,0.635,0.36,2,0.089,55,0.99745,0.57,10.4,0
7.7,0.43,0.25,2.6,0.073,63,0.99615,0.58,10.5,1
8.9,0.59,0.5,2,0.337,81,0.9964,1.61,9.5,1
9,0.82,0.14,2.6,0.089,23,0.9984,0.63,9.8,0
7.7,0.43,0.25,2.6,0.073,63,0.99615,0.58,10.5,1
6.9,0.52,0.25,2.6,0.081,37,0.99685,0.5,11,0
5.2,0.48,0.04,1.6,0.054,106,0.9927,0.62,12.2,1
8,0.38,0.06,1.8,0.078,49,0.99625,0.52,9.9,1
8.5,0.37,0.2,2.8,0.09,58,0.998,0.7,9.6,1
6.9,0.52,0.25,2.6,0.081,37,0.99685,0.5,11,0
8.2,1,0.09,2.3,0.065,37,0.99685,0.55,9,1
7.2,0.63,0,1.9,0.097,38,0.99675,0.58,9,1
7.2,0.63,0,1.9,0.097,38,0.99675,0.58,9,1
7.2,0.645,0,1.9,0.097,39,0.99675,0.58,9.2,1
7.2,0.63,0,1.9,0.097,38,0.99675,0.58,9,1
8.2,1,0.09,2.3,0.065,37,0.99685,0.55,9,1
8.9,0.635,0.37,1.7,0.263,62,0.9971,1.09,9.3,0
12,0.38,0.56,2.1,0.093,24,0.99925,0.71,10.9,1
7.7,0.58,0.1,1.8,0.102,109,0.99565,0.49,9.8,1
15,0.21,0.44,2.2,0.075,24,1.00005,0.84,9.2,1
15,0.21,0.44,2.2,0.075,24,1.00005,0.84,9.2,1
7.3,0.66,0,2,0.084,23,0.9983,0.96,9.9,1
7.1,0.68,0.07,1.9,0.075,51,0.99685,0.52,9.5,0
8.2,0.6,0.17,2.3,0.072,73,0.9963,0.45,9.3,0
7.7,0.53,0.06,1.7,0.074,39,0.99615,0.48,9.8,1
7.3,0.66,0,2,0.084,23,0.9983,0.96,9.9,1
10.8,0.32,0.44,1.6,0.063,37,0.9985,0.78,10,1
7.1,0.6,0,1.8,0.074,34,0.9972,0.7,9.9,1
11.1,0.35,0.48,3.1,0.09,21,0.9986,0.53,10.5,0
7.7,0.775,0.42,1.9,0.092,86,0.9959,0.59,9.5,0
7.1,0.6,0,1.8,0.074,34,0.9972,0.7,9.9,1
8,0.57,0.23,3.2,0.073,119,0.99675,0.57,9.3,0
9.4,0.34,0.37,2.2,0.075,13,0.998,0.62,9.2,0
6.6,0.695,0,2.1,0.075,56,0.9968,0.67,9.2,0
7.7,0.41,0.76,1.8,0.611,45,0.9968,1.26,9.4,0
10,0.31,0.47,2.6,0.085,33,0.99965,0.8,10.5,1
7.9,0.33,0.23,1.7,0.077,45,0.99625,0.65,9.3,0
7,0.975,0.04,2,0.087,67,0.99565,0.6,9.4,0
8,0.52,0.03,1.7,0.07,35,0.99575,0.57,10,0
7.9,0.37,0.23,1.8,0.077,49,0.9963,0.67,9.3,0
12.5,0.56,0.49,2.4,0.064,27,0.9999,0.87,10.9,0
11.8,0.26,0.52,1.8,0.071,10,0.9968,0.72,10.2,1
8.1,0.87,0,3.3,0.096,61,1.00025,0.72,9.8,0
7.9,0.35,0.46,3.6,0.078,37,0.9973,0.86,12.8,1
6.9,0.54,0.04,3,0.077,27,0.9987,0.91,9.4,1
11.5,0.18,0.51,4,0.104,23,0.9996,0.97,10.1,1
7.9,0.545,0.06,4,0.087,61,0.9965,0.67,10.7,1
11.5,0.18,0.51,4,0.104,23,0.9996,0.97,10.1,1
10.9,0.37,0.58,4,0.071,65,0.99935,0.78,10.1,0
8.4,0.715,0.2,2.4,0.076,38,0.99735,0.64,9.4,0
7.5,0.65,0.18,7,0.088,94,0.99915,0.77,9.4,0
7.9,0.545,0.06,4,0.087,61,0.9965,0.67,10.7,1
6.9,0.54,0.04,3,0.077,27,0.9987,0.91,9.4,1
11.5,0.18,0.51,4,0.104,23,0.9996,0.97,10.1,1
10.3,0.32,0.45,6.4,0.073,13,0.9976,0.82,12.6,1
8.9,0.4,0.32,5.6,0.087,47,0.9991,0.77,10.5,1
11.4,0.26,0.44,3.6,0.071,19,0.9986,0.82,9.3,1
7.7,0.27,0.68,3.5,0.358,10,0.9972,1.08,9.9,1
7.6,0.52,0.12,3,0.067,53,0.9971,0.57,9.1,0
8.9,0.4,0.32,5.6,0.087,47,0.9991,0.77,10.5,1
9.9,0.59,0.07,3.4,0.102,71,1.00015,0.71,9.8,0
9.9,0.59,0.07,3.4,0.102,71,1.00015,0.71,9.8,0
12,0.45,0.55,2,0.073,49,0.9997,0.76,10.3,1
7.5,0.4,0.12,3,0.092,53,0.9967,0.7,10.3,1
8.7,0.52,0.09,2.5,0.091,49,0.9976,0.86,10.6,1
11.6,0.42,0.53,3.3,0.105,98,1.001,0.95,9.2,0
8.7,0.52,0.09,2.5,0.091,49,0.9976,0.86,10.6,1
11,0.2,0.48,2,0.343,18,0.9979,0.71,10.5,0
10.4,0.55,0.23,2.7,0.091,48,0.9994,0.64,10.3,1
6.9,0.36,0.25,2.4,0.098,16,0.9964,0.6,10.1,1
13.3,0.34,0.52,3.2,0.094,53,1.0014,0.81,9.5,1
10.8,0.5,0.46,2.5,0.073,27,1.0001,0.64,9.5,0
10.6,0.83,0.37,2.6,0.086,70,0.9981,0.52,9.9,0
7.1,0.63,0.06,2,0.083,29,0.99855,0.73,9.6,0
7.2,0.65,0.02,2.3,0.094,31,0.9993,0.8,9.7,0
6.9,0.67,0.06,2.1,0.08,33,0.99845,0.71,9.6,0
7.5,0.53,0.06,2.6,0.086,44,0.9965,0.59,10.7,1
11.1,0.18,0.48,1.5,0.068,15,0.9973,0.64,10.1,1
8.3,0.705,0.12,2.6,0.092,28,0.9994,0.72,10,0
7.4,0.67,0.12,1.6,0.186,21,0.996,0.54,9.5,0
8.4,0.65,0.6,2.1,0.112,90,0.9973,0.52,9.2,0
10.3,0.53,0.48,2.5,0.063,25,0.9998,0.59,9.3,1
7.6,0.62,0.32,2.2,0.082,54,0.9966,0.52,9.4,0
10.3,0.41,0.42,2.4,0.213,14,0.9994,0.62,9.5,1
10.3,0.43,0.44,2.4,0.214,12,0.9994,0.63,9.5,1
7.4,0.29,0.38,1.7,0.062,30,0.9968,0.53,9.5,1
10.3,0.53,0.48,2.5,0.063,25,0.9998,0.59,9.3,1
7.9,0.53,0.24,2,0.072,105,0.996,0.54,9.4,1
9,0.46,0.31,2.8,0.093,98,0.99815,0.63,9.5,1
8.6,0.47,0.3,3,0.076,135,0.9976,0.53,9.4,0
7.4,0.36,0.29,2.6,0.087,72,0.99645,0.68,11,0
7.1,0.35,0.29,2.5,0.096,53,0.9962,0.65,11,1
9.6,0.56,0.23,3.4,0.102,92,0.9996,0.65,10.1,0
9.6,0.77,0.12,2.9,0.082,74,0.99865,0.64,10.4,1
9.8,0.66,0.39,3.2,0.083,59,0.9989,0.71,11.5,1
9.6,0.77,0.12,2.9,0.082,74,0.99865,0.64,10.4,1
9.8,0.66,0.39,3.2,0.083,59,0.9989,0.71,11.5,1
9.3,0.61,0.26,3.4,0.09,87,0.99975,0.62,9.7,0
7.8,0.62,0.05,2.3,0.079,18,0.99735,0.63,9.3,0
10.3,0.59,0.42,2.8,0.09,73,0.999,0.7,9.5,1
10,0.49,0.2,11,0.071,50,1.0015,0.69,9.2,1
10,0.49,0.2,11,0.071,50,1.0015,0.69,9.2,1
11.6,0.53,0.66,3.65,0.121,14,0.9978,0.74,11.5,1
10.3,0.44,0.5,4.5,0.107,13,0.998,0.83,11.5,0
13.4,0.27,0.62,2.6,0.082,21,1.0002,0.67,9.7,1
10.7,0.46,0.39,2,0.061,15,0.9981,0.62,9.5,0
10.2,0.36,0.64,2.9,0.122,41,0.998,0.66,12.5,1
10.2,0.36,0.64,2.9,0.122,41,0.998,0.66,12.5,1
8,0.58,0.28,3.2,0.066,114,0.9973,0.54,9.4,1
8.4,0.56,0.08,2.1,0.105,44,0.9958,0.52,11,0
7.9,0.65,0.01,2.5,0.078,38,0.9963,0.74,11.7,1
11.9,0.695,0.53,3.4,0.128,21,0.9992,0.84,12.2,1
8.9,0.43,0.45,1.9,0.052,16,0.9948,0.7,12.5,1
7.8,0.43,0.32,2.8,0.08,58,0.9974,0.64,10.3,0
12.4,0.49,0.58,3,0.103,99,1.0008,1,11.5,1
12.5,0.28,0.54,2.3,0.082,29,0.9997,1.36,9.8,1
12.2,0.34,0.5,2.4,0.066,21,1,1.18,9.2,1
10.6,0.42,0.48,2.7,0.065,18,0.9972,0.87,11.3,1
10.9,0.39,0.47,1.8,0.118,14,0.9982,0.75,9.8,1
10.9,0.39,0.47,1.8,0.118,14,0.9982,0.75,9.8,1
11.9,0.57,0.5,2.6,0.082,32,1.0006,0.78,10.7,1
7,0.685,0,1.9,0.067,63,0.9979,0.81,9.9,0
6.6,0.815,0.02,2.7,0.072,34,0.9955,0.89,12.3,1
13.8,0.49,0.67,3,0.093,15,0.9986,0.93,12,1
9.6,0.56,0.31,2.8,0.089,46,0.9979,0.92,10,1
9.1,0.785,0,2.6,0.093,28,0.9994,0.86,9.4,1
10.7,0.67,0.22,2.7,0.107,34,1.0004,0.98,9.9,1
9.1,0.795,0,2.6,0.096,26,0.9994,0.83,9.4,1
7.7,0.665,0,2.4,0.09,19,0.9974,0.73,9.3,0
13.5,0.53,0.79,4.8,0.12,77,1.0018,0.77,13,0
6.1,0.21,0.4,1.4,0.066,165,0.9912,0.59,11.9,1
6.7,0.75,0.01,2.4,0.078,32,0.9955,0.61,12.8,1
11.5,0.41,0.52,3,0.08,55,1.0001,0.88,11,0
10.5,0.42,0.66,2.95,0.116,29,0.997,0.75,11.7,1
11.9,0.43,0.66,3.1,0.109,23,1,0.85,10.4,1
12.6,0.38,0.66,2.6,0.088,41,1.001,0.68,9.8,1
8.2,0.7,0.23,2,0.099,81,0.9973,0.7,9.4,0
8.6,0.45,0.31,2.6,0.086,50,0.9982,0.91,9.9,1
11.9,0.58,0.66,2.5,0.072,37,0.9992,0.56,10,0
12.5,0.46,0.63,2,0.071,15,0.9988,0.87,10.2,0
12.8,0.615,0.66,5.8,0.083,42,1.0022,0.73,10,1
10,0.42,0.5,3.4,0.107,21,0.9979,0.93,11.8,1
12.8,0.615,0.66,5.8,0.083,42,1.0022,0.73,10,1
10.4,0.575,0.61,2.6,0.076,24,1,0.69,9,0
10.3,0.34,0.52,2.8,0.159,75,0.9998,0.64,9.4,0
9.4,0.27,0.53,2.4,0.074,18,0.9962,1.13,12,1
6.9,0.765,0.02,2.3,0.063,63,0.9975,0.78,9.9,0
7.9,0.24,0.4,1.6,0.056,25,0.9967,0.87,8.7,1
9.1,0.28,0.48,1.8,0.067,46,0.9967,1.04,10.6,1
7.4,0.55,0.22,2.2,0.106,72,0.9959,0.63,9.2,0
14,0.41,0.63,3.8,0.089,47,1.0014,0.81,10.8,1
11.5,0.54,0.71,4.4,0.124,15,0.9984,0.83,11.8,1
11.5,0.45,0.5,3,0.078,47,1.0003,1.11,11,1
9.4,0.27,0.53,2.4,0.074,18,0.9962,1.13,12,1
11.4,0.625,0.66,6.2,0.088,24,0.9988,0.99,13.3,1
8.3,0.42,0.38,2.5,0.094,60,0.9979,0.7,10.8,1
8.3,0.26,0.42,2,0.08,27,0.9974,0.8,9.4,1
13.7,0.415,0.68,2.9,0.085,43,1.0014,0.8,10,1
8.3,0.26,0.42,2,0.08,27,0.9974,0.8,9.4,1
8.3,0.26,0.42,2,0.08,27,0.9974,0.8,9.4,1
7.7,0.51,0.28,2.1,0.087,54,0.998,0.74,9.2,0
7.4,0.63,0.07,2.4,0.09,37,0.9979,0.76,9.7,1
