,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,Quality
76,0.41,0.64,2.2,0.093,9,0.9986,3.54,0.66,10.5,0
77,0.41,0.64,2.2,0.093,9,0.9986,3.54,0.66,10.5,0
78,0.785,0,2.4,0.104,14,0.9966,3.52,0.55,10.7,1
79,0.75,0.12,2,0.086,12,0.9958,3.38,0.52,10.1,0
80,0.625,0.2,1.5,0.08,27,0.9972,3.16,1.12,9.1,0
81,0.45,0.2,1.6,0.069,3,0.9958,3.41,0.56,9.2,0
82,0.43,0.7,1.9,0.464,22,0.9974,3.13,1.28,9.4,0
83,0.5,0.47,2,0.086,21,0.997,3.36,0.57,9.1,0
84,0.67,0.26,1.8,0.401,16,0.9969,3.16,1.14,9.4,0
85,0.3,0.48,1.8,0.069,18,0.9959,3.44,0.78,10.3,1
86,0.55,0.15,2.2,0.076,19,0.9961,3.41,0.59,10.1,0
87,0.49,0.28,1.9,0.11,20,0.9972,2.93,1.95,9.9,1
88,0.49,0.26,1.9,0.062,9,0.9966,3.39,0.64,9.6,0
89,0.39,0.44,2.1,0.107,34,0.9978,3.14,1.22,9.5,0
90,0.62,0.08,1.8,0.076,8,0.9978,3.48,0.53,9,0
91,0.52,0.26,1.9,0.079,42,0.9964,3.23,0.54,9.5,0
92,0.49,0.28,1.9,0.11,20,0.9972,2.93,1.95,9.9,1
93,0.49,0.29,2,0.11,19,0.9972,2.93,1.98,9.8,0
94,0.49,0.26,1.9,0.062,9,0.9966,3.39,0.64,9.6,0
95,1.02,0.04,1.4,0.045,41,0.9938,3.75,0.48,10.5,0
96,0.6,0.17,2.3,0.058,17,0.9932,3.85,0.6,12.9,1
97,0.775,0,3,0.102,8,0.9965,3.45,0.56,10.7,0
98,0.5,0.25,2,0.07,3,0.9963,3.25,0.63,9.2,0
99,0.9,0.06,2.5,0.079,5,0.9967,3.39,0.56,9.8,0
100,0.545,0.18,1.9,0.08,13,0.9972,3.3,0.59,9,1
101,0.61,0.3,2.1,0.084,11,0.9972,3.4,0.61,10.2,1
102,0.5,0.3,1.9,0.075,8,0.9959,3.31,0.56,10.4,1
103,0.545,0.18,1.9,0.08,13,0.9972,3.3,0.59,9,1
104,0.575,0.22,2.1,0.077,12,0.9967,3.29,0.51,9.2,0
105,0.49,0.24,2.2,0.07,5,0.996,3.33,0.48,9.4,0
106,0.575,0.22,2.1,0.077,12,0.9967,3.29,0.51,9.2,0
107,0.41,0.68,1.7,0.467,18,0.9973,3.08,1.31,9.3,0
108,0.63,0.31,1.7,0.088,15,0.9969,3.46,0.79,9.3,0
109,0.33,0.53,2.5,0.091,18,0.9976,3.37,0.8,9.6,1
110,0.785,0.52,2,0.122,37,0.9969,3.21,0.69,9.3,0
111,0.56,0.19,1.8,0.104,12,0.9964,3.19,0.93,9.5,0
112,0.62,0.09,2.2,0.084,11,0.9964,3.15,0.66,9.8,0
113,0.6,0.1,2.2,0.085,14,0.9964,3.15,0.66,9.8,0
114,0.31,0.44,2.3,0.08,22,0.9988,3.32,0.67,9.7,1
115,0.56,0.19,1.8,0.104,12,0.9964,3.19,0.93,9.5,0
116,0.4,0.31,2.2,0.09,13,0.9966,3.07,0.63,10.5,1
117,0.54,0.28,1.9,0.077,11,0.9978,3.39,0.61,10,1
118,0.56,0.12,2,0.082,7,0.997,3.37,0.5,9.4,1
119,0.55,0.04,2.2,0.119,14,0.9962,3.21,0.6,10.9,1
120,0.69,0.08,1.8,0.097,22,0.9959,3.34,0.54,9.2,1
121,1.07,0.09,1.7,0.178,10,0.9962,3.3,0.57,9,0
122,0.55,0.04,2.2,0.119,14,0.9962,3.21,0.6,10.9,1
123,0.695,0,2.5,0.075,3,0.998,3.49,0.52,9.2,0
124,0.71,0,2.6,0.08,11,0.9976,3.44,0.53,9.5,0
125,0.5,0.17,1.6,0.082,21,0.996,3.39,0.48,9.5,0
126,0.62,0.04,1.9,0.146,27,0.9984,3.16,0.7,9.4,0
127,1.33,0,1.7,0.081,3,0.9964,3.53,0.49,10.9,0
128,1.33,0,1.8,0.082,3,0.9964,3.54,0.48,10.9,0
129,0.59,0.16,1.8,0.065,3,0.9962,3.42,0.92,10.5,1
130,0.38,0.15,1.8,0.072,6,0.9955,3.42,0.57,9.4,0
131,0.745,0.56,2,0.118,30,0.9968,3.24,0.66,9.4,0
132,0.5,0.09,2.3,0.049,17,0.9937,3.63,0.63,13,0
133,0.5,0.09,2.3,0.049,17,0.9937,3.63,0.63,13,0
134,0.5,0.01,1.5,0.06,17,0.9952,3.4,0.58,9.8,1
135,1.04,0.05,2.2,0.084,13,0.9959,3.22,0.55,9.9,1
136,0.745,0.11,1.9,0.09,16,0.9965,3.19,0.82,9.6,0
137,0.715,0.15,1.8,0.089,10,0.9968,3.23,0.77,9.5,0
138,0.415,0.36,2,0.081,13,0.9972,3.48,0.64,9.2,0
139,0.56,0.19,2.1,0.081,15,0.9962,3.33,0.54,9.5,0
140,0.56,0.19,2,0.081,17,0.9962,3.32,0.54,9.5,0
141,0.745,0.11,1.9,0.09,16,0.9965,3.19,0.82,9.6,0
142,0.715,0.15,1.8,0.089,10,0.9968,3.23,0.77,9.5,0
143,0.34,0,1.8,0.05,27,0.9916,3.68,0.79,14,1
144,0.39,0.08,1.7,0.066,3,0.9954,3.34,0.58,9.4,0
145,0.34,0,1.8,0.05,27,0.9916,3.68,0.79,14,1
146,0.67,0.55,1.8,0.117,32,0.9968,3.17,0.62,9.4,0
147,0.68,0.02,1.8,0.087,21,0.9944,3.54,0.52,10,0
148,0.49,0.26,1.6,0.236,10,0.9968,3.11,0.8,9.3,0
149,0.49,0.1,2.3,0.074,12,0.9959,3.42,0.58,10.2,1
150,0.4,0.44,2.8,0.089,11,0.9975,3.53,0.61,10.5,1
151,0.33,0.47,2.1,0.077,5,0.9958,3.33,0.53,10.3,1
152,0.52,1,3.4,0.61,32,0.9996,2.74,2,9.4,0
153,0.6,0.03,1.8,0.095,25,0.995,3.35,0.54,10.1,0
154,0.6,0.03,1.8,0.095,25,0.995,3.35,0.54,10.1,0
155,0.43,0.42,5.5,0.07,29,0.9973,3.42,0.72,10.5,0
156,0.43,0.42,5.5,0.071,28,0.9973,3.42,0.71,10.5,0
157,0.43,0.42,5.5,0.07,29,0.9973,3.42,0.72,10.5,0
158,0.43,0.42,5.5,0.071,28,0.9973,3.42,0.71,10.5,0
159,0.68,0,2.2,0.073,12,0.9969,3.48,0.5,9.3,0
160,0.6,0.18,1.9,0.079,18,0.9968,3.59,0.57,9.3,1
161,0.95,0.03,2,0.09,7,0.9959,3.2,0.56,9.6,0
162,0.68,0.02,1.3,0.072,9,0.9965,3.17,1.08,9.2,0
163,0.53,0.04,1.7,0.076,17,0.9964,3.33,0.56,10,1
164,0.6,0.26,7.3,0.07,36,0.9982,3.37,0.49,9.4,0
165,0.59,0.26,7.2,0.07,35,0.9981,3.37,0.49,9.4,0
166,0.63,0.48,1.7,0.1,14,0.9961,3.19,0.62,9.5,0
167,0.64,0.1,2.1,0.085,18,0.9956,3.34,0.52,10.2,0
168,0.55,0.03,1.6,0.072,17,0.9956,3.37,0.48,9,0
169,0.63,0.07,2.1,0.089,11,0.9953,3.47,0.55,10.4,1
170,0.705,0.24,1.8,0.36,15,0.9964,3,1.59,9.5,0
171,0.885,0.03,1.8,0.058,4,0.9972,3.36,0.33,9.1,0
172,0.42,0.17,2,0.073,6,0.9972,3.29,0.61,9.2,1
173,0.42,0.17,2,0.073,6,0.9972,3.29,0.61,9.2,1
174,0.62,0.05,1.9,0.068,24,0.9961,3.42,0.57,11.5,1
175,0.38,0.21,2,0.08,7,0.9961,3.33,0.47,9.5,0
176,0.5,0.04,1.5,0.085,19,0.9958,3.35,0.78,9.5,0
177,0.38,0.21,2,0.08,7,0.9961,3.33,0.47,9.5,0
178,0.52,0.42,2.3,0.087,8,0.9972,3.58,0.61,10.5,1
179,0.805,0,2.5,0.068,7,0.9969,3.48,0.56,9.6,0
180,0.61,0.14,2.4,0.067,10,0.9969,3.19,0.59,9.5,0
181,0.61,0.14,2.4,0.067,10,0.9969,3.19,0.59,9.5,0
182,0.61,0.49,2,0.27,23,0.9972,3.12,1.02,9.3,0
183,0.73,0.02,2.5,0.076,16,0.9972,3.44,0.52,9.3,0
184,0.61,0.2,1.8,0.077,11,0.9971,3.54,0.58,9.3,0
185,0.62,0.21,1.9,0.079,8,0.997,3.52,0.58,9.3,1
186,0.31,0.57,2,0.111,26,0.9971,3.26,0.53,9.7,0
187,0.39,0.48,2,0.082,14,0.9972,3.34,0.55,9.2,0
188,0.705,0.1,2.6,0.084,9,0.9976,3.39,0.49,9.7,0
189,0.5,0.33,2,0.084,15,0.9968,3.2,0.55,9.5,0
190,0.49,0.32,1.9,0.082,17,0.9968,3.2,0.55,9.5,0
191,0.5,0.35,2.9,0.077,21,0.9976,3.23,0.62,9.4,0
192,0.37,0.25,1.9,0.074,21,0.9974,3.57,0.62,9.8,1
193,0.63,0.12,3.8,0.099,16,0.9969,3.28,0.61,9.5,0
194,0.55,0.21,2.2,0.071,7,0.9964,3.28,0.55,9.7,0
195,0.55,0.21,2.2,0.071,7,0.9964,3.28,0.55,9.7,0
196,0.59,0.33,2,0.074,24,0.9968,3.25,0.54,9.4,0
197,0.58,0.3,2.4,0.074,15,0.9968,3.46,0.59,10.2,0
198,0.3,0.6,2,0.067,12,0.9981,3.11,0.97,10.1,1
199,0.835,0.08,1.2,0.046,13,0.9924,3.57,0.85,13,1
200,1.09,0.06,2.1,0.061,12,0.9948,3.51,0.43,11.4,0
201,0.32,0.47,1.4,0.056,9,0.99695,3.22,0.82,10.3,1
202,0.37,0.48,2.1,0.097,39,0.9975,3.04,1.03,9.3,0
203,0.5,0.11,1.5,0.075,16,0.99545,3.36,0.79,9.5,0
204,0.42,0.35,1.6,0.088,16,0.9961,3.34,0.55,9.2,0
205,0.43,0.36,1.6,0.089,14,0.99615,3.34,0.56,9.2,1
206,0.3,0.74,2.6,0.095,9,0.9994,3.2,0.77,10.8,1
207,0.3,0.74,2.6,0.095,9,0.9994,3.2,0.77,10.8,1
208,0.57,0.31,1.8,0.069,26,0.99625,3.29,0.53,9.3,0
209,0.44,0.28,2.7,0.1,18,0.9966,3.22,0.67,9.4,0
210,0.3,0.58,2.1,0.054,7,0.998,3.31,0.88,10.5,1
211,0.53,0.6,2,0.039,5,0.99585,3.3,0.86,12.4,1
212,0.725,0.24,2.8,0.083,10,0.99685,3.35,0.56,10,1
213,0.44,0.64,2.1,0.059,5,0.998,3.21,0.67,10.2,1
214,0.57,0.26,2.2,0.06,28,0.9959,3.3,0.43,10.1,0
215,0.735,0.08,2.4,0.092,10,0.9974,3.24,0.71,9.8,1
216,0.49,0.49,5.6,0.06,26,0.9974,3.34,0.76,10.5,0
217,0.625,0.16,2,0.101,13,0.9962,3.14,0.57,11,0
218,0.725,0.22,2.2,0.072,11,0.9967,3.36,0.55,9.1,0
219,0.49,0.19,1.9,0.076,10,0.9957,3.39,0.54,9.7,0
220,0.53,0.33,2.4,0.08,24,0.99655,3.3,0.6,9.5,0
221,0.34,0.37,2,0.082,24,0.9964,3.34,0.59,9.4,1
222,0.53,0.26,2,0.101,16,0.9957,3.15,0.57,9.4,0
223,0.61,0.04,1.5,0.057,5,0.99525,3.42,0.6,9.5,0
224,0.645,0.25,2,0.083,8,0.99815,3.28,0.6,10,1
225,0.635,0.36,2,0.089,15,0.99745,3.31,0.57,10.4,0
226,0.43,0.25,2.6,0.073,29,0.99615,3.37,0.58,10.5,1
227,0.59,0.5,2,0.337,27,0.9964,3.04,1.61,9.5,1
228,0.82,0.14,2.6,0.089,9,0.9984,3.39,0.63,9.8,0
229,0.43,0.25,2.6,0.073,29,0.99615,3.37,0.58,10.5,1
230,0.52,0.25,2.6,0.081,10,0.99685,3.46,0.5,11,0
231,0.48,0.04,1.6,0.054,19,0.9927,3.54,0.62,12.2,1
232,0.38,0.06,1.8,0.078,12,0.99625,3.37,0.52,9.9,1
233,0.37,0.2,2.8,0.09,18,0.998,3.34,0.7,9.6,1
234,0.52,0.25,2.6,0.081,10,0.99685,3.46,0.5,11,0
235,1,0.09,2.3,0.065,7,0.99685,3.32,0.55,9,1
236,0.63,0,1.9,0.097,14,0.99675,3.37,0.58,9,1
237,0.63,0,1.9,0.097,14,0.99675,3.37,0.58,9,1
238,0.645,0,1.9,0.097,15,0.99675,3.37,0.58,9.2,1
239,0.63,0,1.9,0.097,14,0.99675,3.37,0.58,9,1
240,1,0.09,2.3,0.065,7,0.99685,3.32,0.55,9,1
241,0.635,0.37,1.7,0.263,5,0.9971,3,1.09,9.3,0
242,0.38,0.56,2.1,0.093,6,0.99925,3.14,0.71,10.9,1
243,0.58,0.1,1.8,0.102,28,0.99565,3.08,0.49,9.8,1
244,0.21,0.44,2.2,0.075,10,1.00005,3.07,0.84,9.2,1
245,0.21,0.44,2.2,0.075,10,1.00005,3.07,0.84,9.2,1
246,0.66,0,2,0.084,6,0.9983,3.61,0.96,9.9,1
247,0.68,0.07,1.9,0.075,16,0.99685,3.38,0.52,9.5,0
248,0.6,0.17,2.3,0.072,11,0.9963,3.2,0.45,9.3,0
249,0.53,0.06,1.7,0.074,9,0.99615,3.35,0.48,9.8,1
250,0.66,0,2,0.084,6,0.9983,3.61,0.96,9.9,1
251,0.32,0.44,1.6,0.063,16,0.9985,3.22,0.78,10,1
252,0.6,0,1.8,0.074,16,0.9972,3.47,0.7,9.9,1
253,0.35,0.48,3.1,0.09,5,0.9986,3.17,0.53,10.5,0
254,0.775,0.42,1.9,0.092,8,0.9959,3.23,0.59,9.5,0
255,0.6,0,1.8,0.074,16,0.9972,3.47,0.7,9.9,1
256,0.57,0.23,3.2,0.073,17,0.99675,3.26,0.57,9.3,0
257,0.34,0.37,2.2,0.075,5,0.998,3.22,0.62,9.2,0
258,0.695,0,2.1,0.075,12,0.9968,3.49,0.67,9.2,0
259,0.41,0.76,1.8,0.611,8,0.9968,3.06,1.26,9.4,0
260,0.31,0.47,2.6,0.085,14,0.99965,3.36,0.8,10.5,1
261,0.33,0.23,1.7,0.077,18,0.99625,3.29,0.65,9.3,0
262,0.975,0.04,2,0.087,12,0.99565,3.35,0.6,9.4,0
263,0.52,0.03,1.7,0.07,10,0.99575,3.34,0.57,10,0
264,0.37,0.23,1.8,0.077,23,0.9963,3.28,0.67,9.3,0
265,0.56,0.49,2.4,0.064,5,0.9999,3.08,0.87,10.9,0
266,0.26,0.52,1.8,0.071,6,0.9968,3.2,0.72,10.2,1
267,0.87,0,3.3,0.096,26,1.00025,3.6,0.72,9.8,0
268,0.35,0.46,3.6,0.078,15,0.9973,3.35,0.86,12.8,1
269,0.54,0.04,3,0.077,7,0.9987,3.69,0.91,9.4,1
270,0.18,0.51,4,0.104,4,0.9996,3.28,0.97,10.1,1
271,0.545,0.06,4,0.087,27,0.9965,3.36,0.67,10.7,1
272,0.18,0.51,4,0.104,4,0.9996,3.28,0.97,10.1,1
273,0.37,0.58,4,0.071,17,0.99935,3.22,0.78,10.1,0
274,0.715,0.2,2.4,0.076,10,0.99735,3.31,0.64,9.4,0
275,0.65,0.18,7,0.088,27,0.99915,3.38,0.77,9.4,0
276,0.545,0.06,4,0.087,27,0.9965,3.36,0.67,10.7,1
277,0.54,0.04,3,0.077,7,0.9987,3.69,0.91,9.4,1
278,0.18,0.51,4,0.104,4,0.9996,3.28,0.97,10.1,1
279,0.32,0.45,6.4,0.073,5,0.9976,3.23,0.82,12.6,1
280,0.4,0.32,5.6,0.087,10,0.9991,3.38,0.77,10.5,1
281,0.26,0.44,3.6,0.071,6,0.9986,3.12,0.82,9.3,1
282,0.27,0.68,3.5,0.358,5,0.9972,3.25,1.08,9.9,1
283,0.52,0.12,3,0.067,12,0.9971,3.36,0.57,9.1,0
284,0.4,0.32,5.6,0.087,10,0.9991,3.38,0.77,10.5,1
285,0.59,0.07,3.4,0.102,32,1.00015,3.31,0.71,9.8,0
286,0.59,0.07,3.4,0.102,32,1.00015,3.31,0.71,9.8,0
287,0.45,0.55,2,0.073,25,0.9997,3.1,0.76,10.3,1
288,0.4,0.12,3,0.092,29,0.9967,3.37,0.7,10.3,1
289,0.52,0.09,2.5,0.091,20,0.9976,3.34,0.86,10.6,1
290,0.42,0.53,3.3,0.105,33,1.001,3.2,0.95,9.2,0
291,0.52,0.09,2.5,0.091,20,0.9976,3.34,0.86,10.6,1
292,0.2,0.48,2,0.343,6,0.9979,3.3,0.71,10.5,0
293,0.55,0.23,2.7,0.091,18,0.9994,3.22,0.64,10.3,1
294,0.36,0.25,2.4,0.098,5,0.9964,3.41,0.6,10.1,1
295,0.34,0.52,3.2,0.094,17,1.0014,3.05,0.81,9.5,1
296,0.5,0.46,2.5,0.073,5,1.0001,3.05,0.64,9.5,0
297,0.83,0.37,2.6,0.086,26,0.9981,3.16,0.52,9.9,0
298,0.63,0.06,2,0.083,8,0.99855,3.67,0.73,9.6,0
299,0.65,0.02,2.3,0.094,5,0.9993,3.67,0.8,9.7,0
300,0.67,0.06,2.1,0.08,8,0.99845,3.68,0.71,9.6,0
301,0.53,0.06,2.6,0.086,20,0.9965,3.38,0.59,10.7,1
302,0.18,0.48,1.5,0.068,7,0.9973,3.22,0.64,10.1,1
303,0.705,0.12,2.6,0.092,12,0.9994,3.51,0.72,10,0
304,0.67,0.12,1.6,0.186,5,0.996,3.39,0.54,9.5,0
305,0.65,0.6,2.1,0.112,12,0.9973,3.2,0.52,9.2,0
306,0.53,0.48,2.5,0.063,6,0.9998,3.12,0.59,9.3,1
307,0.62,0.32,2.2,0.082,7,0.9966,3.36,0.52,9.4,0
308,0.41,0.42,2.4,0.213,6,0.9994,3.19,0.62,9.5,1
309,0.43,0.44,2.4,0.214,5,0.9994,3.19,0.63,9.5,1
310,0.29,0.38,1.7,0.062,9,0.9968,3.41,0.53,9.5,1
311,0.53,0.48,2.5,0.063,6,0.9998,3.12,0.59,9.3,1
312,0.53,0.24,2,0.072,15,0.996,3.27,0.54,9.4,1
313,0.46,0.31,2.8,0.093,19,0.99815,3.32,0.63,9.5,1
314,0.47,0.3,3,0.076,30,0.9976,3.3,0.53,9.4,0
315,0.36,0.29,2.6,0.087,26,0.99645,3.39,0.68,11,0
316,0.35,0.29,2.5,0.096,20,0.9962,3.42,0.65,11,1
317,0.56,0.23,3.4,0.102,37,0.9996,3.3,0.65,10.1,0
318,0.77,0.12,2.9,0.082,30,0.99865,3.3,0.64,10.4,1
319,0.66,0.39,3.2,0.083,21,0.9989,3.37,0.71,11.5,1
320,0.77,0.12,2.9,0.082,30,0.99865,3.3,0.64,10.4,1
321,0.66,0.39,3.2,0.083,21,0.9989,3.37,0.71,11.5,1
322,0.61,0.26,3.4,0.09,25,0.99975,3.24,0.62,9.7,0
323,0.62,0.05,2.3,0.079,6,0.99735,3.29,0.63,9.3,0
324,0.59,0.42,2.8,0.09,35,0.999,3.28,0.7,9.5,1
325,0.49,0.2,11,0.071,13,1.0015,3.16,0.69,9.2,1
326,0.49,0.2,11,0.071,13,1.0015,3.16,0.69,9.2,1
327,0.53,0.66,3.65,0.121,6,0.9978,3.05,0.74,11.5,1
328,0.44,0.5,4.5,0.107,5,0.998,3.28,0.83,11.5,0
329,0.27,0.62,2.6,0.082,6,1.0002,3.16,0.67,9.7,1
330,0.46,0.39,2,0.061,7,0.9981,3.18,0.62,9.5,0
331,0.36,0.64,2.9,0.122,10,0.998,3.23,0.66,12.5,1
332,0.36,0.64,2.9,0.122,10,0.998,3.23,0.66,12.5,1
333,0.58,0.28,3.2,0.066,21,0.9973,3.22,0.54,9.4,1
334,0.56,0.08,2.1,0.105,16,0.9958,3.13,0.52,11,0
335,0.65,0.01,2.5,0.078,17,0.9963,3.34,0.74,11.7,1
336,0.695,0.53,3.4,0.128,7,0.9992,3.17,0.84,12.2,1
337,0.43,0.45,1.9,0.052,6,0.9948,3.35,0.7,12.5,1
338,0.43,0.32,2.8,0.08,29,0.9974,3.31,0.64,10.3,0
339,0.49,0.58,3,0.103,28,1.0008,3.16,1,11.5,1
340,0.28,0.54,2.3,0.082,12,0.9997,3.11,1.36,9.8,1
341,0.34,0.5,2.4,0.066,10,1,3.12,1.18,9.2,1
342,0.42,0.48,2.7,0.065,5,0.9972,3.21,0.87,11.3,1
343,0.39,0.47,1.8,0.118,6,0.9982,3.3,0.75,9.8,1
344,0.39,0.47,1.8,0.118,6,0.9982,3.3,0.75,9.8,1
345,0.57,0.5,2.6,0.082,6,1.0006,3.12,0.78,10.7,1
346,0.685,0,1.9,0.067,40,0.9979,3.6,0.81,9.9,0
347,0.815,0.02,2.7,0.072,17,0.9955,3.58,0.89,12.3,1
348,0.49,0.67,3,0.093,6,0.9986,3.02,0.93,12,1
349,0.56,0.31,2.8,0.089,15,0.9979,3.11,0.92,10,1
350,0.785,0,2.6,0.093,11,0.9994,3.36,0.86,9.4,1
351,0.67,0.22,2.7,0.107,17,1.0004,3.28,0.98,9.9,1
352,0.795,0,2.6,0.096,11,0.9994,3.35,0.83,9.4,1
353,0.665,0,2.4,0.09,8,0.9974,3.27,0.73,9.3,0
354,0.53,0.79,4.8,0.12,23,1.0018,3.18,0.77,13,0
355,0.21,0.4,1.4,0.066,40.5,0.9912,3.25,0.59,11.9,1
356,0.75,0.01,2.4,0.078,17,0.9955,3.55,0.61,12.8,1
357,0.41,0.52,3,0.08,29,1.0001,3.26,0.88,11,0
358,0.42,0.66,2.95,0.116,12,0.997,3.24,0.75,11.7,1
359,0.43,0.66,3.1,0.109,10,1,3.15,0.85,10.4,1
360,0.38,0.66,2.6,0.088,10,1.001,3.17,0.68,9.8,1
361,0.7,0.23,2,0.099,14,0.9973,3.19,0.7,9.4,0
362,0.45,0.31,2.6,0.086,21,0.9982,3.37,0.91,9.9,1
363,0.58,0.66,2.5,0.072,6,0.9992,3.05,0.56,10,0
364,0.46,0.63,2,0.071,6,0.9988,2.99,0.87,10.2,0
